,mean_ms,std_ms,min_ms,max_ms,fps
01_Preprocessing,1.65,1.63,0.67,28.73,605.48
02_Tracking,82.14,33.51,10.19,176.09,12.17
03_PoseEstimation,12.06,4.16,5.34,41.49,82.95
04_Triangulation,6.3,2.83,0.73,16.32,158.8
05_LocalBA,39.58,27.09,0.02,283.19,25.27
05_Replenishment,9.96,2.56,4.35,19.9,100.42
Total_Frame_Time,151.85,44.69,53.64,457.08,6.59
